Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Year
Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,CESSNA,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1982
Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Airplane,CESSNA,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,1982
Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Destroyed,Airplane,BELLANCA,17-30A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,1982
Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Fatal(1),Destroyed,Airplane,CESSNA,R172K,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1982
Accident,FTW82FPJ10,1982-01-02,"CHICKASHA, OK",United States,Fatal(1),Destroyed,Airplane,NAVION,A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Fatal(2),Destroyed,Airplane,BEECH,19,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,1982
Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Fatal(3),Destroyed,Airplane,CESSNA,180,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,1982
Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,1982
Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,1982
Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Substantial,Airplane,CESSNA,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1982
Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Incident,Minor,Airplane,PIPER,PA-24-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1982
Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal(2),Destroyed,Airplane,GRUMMAN,AA-5B,No,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,Descent,1982
Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,Airplane,CESSNA,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Fatal(1),Destroyed,Airplane,BEECHCRAFT,BE-58,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,1982
Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Non-Fatal,Substantial,Airplane,MAULE,M-5-235C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1982
Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,Non-Fatal,Substantial,Airplane,CESSNA,210L,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Descent,1982
