Aircraft Type,Accident Count,Fatal Accidents,Total Fatalities,Avg Severity Index,First Year,Last Year,Risk Score
CESSNA 152,1.0,250,0.2893175074183976,0.000716937900098579,1982,2022,0.5158703905473788
BOEING 737,0.20634249471458774,16,1.0,0.01017221274925144,1985,2022,0.48457144043568545
CESSNA 172,0.7408033826638477,211,0.29525222551928787,0.001158881132140236,1982,2022,0.4146540194996823
CESSNA 172N,0.4913319238900634,203,0.31750741839762614,0.001562011101612025,1982,2022,0.3238481391353983
BOEING 747 168,0.0,1,0.25890207715133534,1.0,1996,1996,0.30356083086053415
TUPOLEV TU 154,0.0,1,0.25890207715133534,1.0,1996,1996,0.30356083086053415
BOEING 737 200,0.021987315010570822,11,0.6721068249258161,0.05373844407201168,1982,2007,0.2883853447889571
PIPER PA 28 140,0.4084566596194503,188,0.2440652818991098,0.0018134246762059123,1982,2022,0.2613714615426652
BOEING 777   206,0.0008456659619450317,2,0.3961424332344214,0.5100286532951289,2012,2014,0.2608009703375724
PIPER PA 28 181,0.23594080338266385,141,0.2878338278931751,0.002603913045706875,1982,2022,0.21003063511947698
CESSNA 172M,0.3369978858350951,132,0.18026706231454007,0.0014901149722443645,1974,2022,0.20720400225430297
BOEING 767 366 ER,0.0,1,0.1609792284866469,0.6217765042979942,1999,1999,0.18874699225425762
CESSNA 172P,0.2909090909090909,105,0.1765578635014837,0.0014721722025609141,1982,2022,0.18728121620474203
PIPER PA 28 180,0.2558139534883721,149,0.20919881305637983,0.002179730867069515,1982,2022,0.1864410527913147
CESSNA 150,0.3501057082452431,89,0.09421364985163205,0.000846810290300393,1982,2022,0.17789710529681016
CESSNA 182,0.27822410147991544,115,0.16172106824925817,0.0015174506828528071,1982,2022,0.17628155802824
BEECH A36,0.17674418604651163,148,0.2403560830860534,0.002926875970211514,1982,2022,0.16742548284706835
PIPER PA 28 161,0.24693446088794926,111,0.16617210682492584,0.001631033722724267,1982,2022,0.1655688338296949
BELL 206B,0.21775898520084566,115,0.18323442136498516,0.0022822682748050906,1982,2022,0.16085381628129336
MCDONNELL DOUGLAS DC 8 62,0.0,1,0.12908011869436203,0.498567335243553,1989,1989,0.15134551452645542
BOEING MD 82,0.002959830866807611,3,0.29896142433234424,0.14505730659025787,2003,2012,0.14977996339771232
AIRBUS INDUSTRIE A310 300,0.0,1,0.09198813056379822,0.5243553008595988,2006,2006,0.14166631239743907
AIRBUS A320   216,0.0,1,0.1201780415430267,0.4641833810888252,2014,2014,0.14090789283497573
PIPER PA 18 150,0.26596194503171244,77,0.08531157270029674,0.0009460135534634102,1982,2022,0.14069860980349636
CESSNA 180,0.2621564482029598,47,0.07640949554896143,0.0007982318932860855,1981,2022,0.13558602387942573
BOEING 767 200ER,0.0012684989429175475,3,0.21884272997032642,0.2313753581661891,2001,2002,0.1343195631985354
EMBRAER E135 LEGACY,0.0,1,0.1142433234421365,0.44126074498567336,2006,2006,0.1339494783739893
BOEING MD 83,0.0,1,0.11350148367952523,0.4383954154727794,2012,2012,0.133079676566366
AIRBUS INDUSTRIE A300B4 605R,0.0008456659619450317,2,0.19732937685459942,0.25787965616045844,1997,2001,0.1308459483587095
PIPER PA 23 250,0.13403805496828752,109,0.18991097922848665,0.0027301724603989836,1982,2022,0.13012564817078948
CESSNA 150M,0.24693446088794926,67,0.07640949554896143,0.0008375578576151643,1982,2022,0.1295050941462873
PIPER PA 18,0.2553911205073996,58,0.06528189910979229,0.0007672452579980582,1982,2022,0.12842265689847637
PIPER PA 32 300,0.15602536997885835,90,0.1632047477744807,0.0025400758925114226,1982,2022,0.12820006227983793
AIRBUS A321,0.0080338266384778,2,0.28264094955489616,0.054584527220630376,2010,2022,0.12718681592147568
ROBINSON R44,0.11247357293868922,117,0.18397626112759644,0.003487760643035747,1993,2022,0.11927748575512141
PIPER PA 31 350,0.12093023255813953,76,0.17581602373887242,0.0028852969659455088,1982,2022,0.11927556191199389
PIPER PA 24 250,0.15644820295983086,98,0.13649851632047477,0.002100726758779416,1982,2022,0.11759883306387814
PIPER PA 28R 200,0.1471458773784355,86,0.14540059347181009,0.0022495710215843876,1982,2022,0.11746850254441511
CESSNA 150L,0.19408033826638477,80,0.09347181008902078,0.0013205431668120095,1982,2022,0.11528496797552462
BOEING 747 131,0.0008456659619450317,1,0.17062314540059348,0.21967526265520534,1984,1996,0.1125225770760565
DOUGLAS MD 11,0.0008456659619450317,1,0.1698813056379822,0.218720152817574,1998,1998,0.11203481920348571
AIRBUS A330,0.013953488372093021,2,0.24554896142433236,0.029496039103320413,2006,2022,0.10970018773923425
PIPER PA 38 112,0.19999999999999998,60,0.07270029673590504,0.0009551098376313276,1982,2022,0.10927114066188828
